EventID,OrderNo,WorkCenter,EventTimestamp,Reason,DurationMin
5001,900121,WC-100,2026-07-11 14:00,Scheduled maintenance,80.0
5002,900071,WC-300,2026-07-19 18:00,Machine breakdown,91.0
5003,900019,WC-300,2026-07-12 09:00,Operator unavailable,114.0
5004,900015,WC-300,2026-07-03 11:00,Changeover / setup,28.0
5005,900024,WC-300,2026-06-29 19:00,Quality hold,127.0
5006,900119,WC-400,2026-08-02 18:00,Quality hold,229.0
5007,900011,WC-210,2026-07-05 14:00,Quality hold,160.0
5008,900083,WC-100,2026-08-04 19:00,Operator unavailable,125.0
5009,900016,WC-200,2026-09-07 14:00,Machine breakdown,197.0
5010,900088,WC-200,2026-08-16 02:00,Quality hold,159.0
5011,900011,WC-210,2026-07-05 07:00,Scheduled maintenance,111.0
5012,900113,WC-400,2026-07-27 16:00,Quality hold,150.0
5013,900094,WC-110,2026-07-08 11:00,Changeover / setup,99.0
5014,900087,WC-200,2026-06-04 19:00,Machine breakdown,192.0
5015,900166,WC-100,2026-06-24 10:00,Machine breakdown,86.0
5016,900143,WC-100,2026-06-18 12:00,Changeover / setup,68.0
5017,900169,WC-200,2026-07-27 19:00,Material shortage,87.0
5018,900150,WC-200,2026-09-08 04:00,Changeover / setup,81.0
5019,900168,WC-300,2026-08-16 12:00,Material shortage,147.0
5020,900022,WC-210,2026-06-28 09:00,Quality hold,97.0
5021,900085,WC-300,2026-09-12 04:00,Scheduled maintenance,172.0
5022,900176,WC-110,2026-07-26 16:00,Machine breakdown,159.0
5023,900109,WC-200,2026-06-24 16:00,Changeover / setup,14.0
5024,900080,WC-200,2026-06-14 05:00,Material shortage,89.0
5025,900125,WC-210,2026-07-11 06:00,Material shortage,240.0
5026,900040,WC-400,2026-07-09 02:00,Changeover / setup,204.0
5027,900026,WC-300,2026-07-31 16:00,Quality hold,202.0
5028,900135,WC-110,2026-08-21 01:00,Scheduled maintenance,87.0
5029,900159,WC-210,2026-09-02 04:00,Quality hold,97.0
5030,900042,WC-110,2026-07-05 05:00,Scheduled maintenance,187.0
5031,900043,WC-300,2026-08-02 14:00,Machine breakdown,104.0
5032,900174,WC-200,2026-08-13 07:00,Operator unavailable,150.0
5033,900115,WC-100,2026-06-29 07:00,Quality hold,65.0
5034,900121,WC-100,2026-07-11 06:00,Changeover / setup,166.0
5035,900147,WC-300,2026-08-22 14:00,Operator unavailable,187.0
5036,900098,WC-300,2026-07-09 16:00,Quality hold,106.0
5037,900042,WC-110,2026-07-05 06:00,Quality hold,42.0
5038,900065,WC-210,2026-06-18 01:00,Scheduled maintenance,121.0
5039,900096,WC-300,2026-07-07 17:00,Machine breakdown,174.0
5040,900133,WC-100,2026-09-15 03:00,Changeover / setup,29.0
5041,900042,WC-110,2026-07-05 08:00,Operator unavailable,218.0
5042,900038,WC-100,2026-06-02 13:00,Machine breakdown,228.0
5043,900057,WC-200,2026-08-25 14:00,Changeover / setup,224.0
5044,900107,WC-210,2026-09-03 01:00,Operator unavailable,125.0
5045,900061,WC-110,2026-08-26 12:00,Machine breakdown,96.0
5046,900008,WC-200,2026-07-29 10:00,Machine breakdown,203.0
5047,900167,WC-100,2026-09-04 10:00,Material shortage,42.0
5048,900074,WC-300,2026-08-08 15:00,Scheduled maintenance,201.0
5049,900121,WC-100,2026-07-11 14:00,Quality hold,11.0
5050,900021,WC-300,2026-09-07 00:00,Changeover / setup,60.0
5051,900039,WC-200,2026-06-17 17:00,Scheduled maintenance,150.0
5052,900109,WC-200,2026-06-24 03:00,Changeover / setup,65.0
5053,900032,WC-200,2026-09-09 01:00,Material shortage,107.0
5054,900160,WC-100,2026-06-12 14:00,Machine breakdown,35.0
5055,900128,WC-210,2026-06-19 19:00,Quality hold,14.0
5056,900132,WC-110,2026-07-20 18:00,Material shortage,175.0
5057,900075,WC-110,2026-09-19 13:00,Machine breakdown,151.0
5058,900062,WC-300,2026-09-17 18:00,Operator unavailable,53.0
5059,900172,WC-200,2026-07-12 02:00,Quality hold,234.0
5060,900018,WC-300,2026-06-26 16:00,Quality hold,127.0
5061,900130,WC-210,2026-07-03 17:00,Machine breakdown,100.0
5062,900121,WC-100,2026-07-11 01:00,Scheduled maintenance,99.0
5063,900096,WC-300,2026-07-07 08:00,Scheduled maintenance,14.0
5064,900018,WC-300,2026-06-26 11:00,Material shortage,179.0
5065,900161,WC-100,2026-08-15 03:00,Quality hold,179.0
5066,900086,WC-110,2026-09-15 04:00,Machine breakdown,91.0
5067,900087,WC-200,2026-06-04 20:00,Material shortage,201.0
5068,900176,WC-110,2026-07-26 14:00,Scheduled maintenance,120.0
5069,900047,WC-200,2026-06-27 04:00,Machine breakdown,175.0
5070,900118,WC-200,2026-09-09 01:00,Changeover / setup,56.0
5071,900052,WC-200,2026-07-15 01:00,Changeover / setup,225.0
5072,900132,WC-110,2026-07-20 12:00,Quality hold,119.0
5073,900010,WC-110,2026-08-27 20:00,Material shortage,76.0
5074,900013,WC-210,2026-08-14 20:00,Changeover / setup,73.0
5075,900095,WC-100,2026-08-10 13:00,Operator unavailable,181.0
5076,900099,WC-110,2026-09-08 10:00,Material shortage,124.0
5077,900128,WC-210,2026-06-19 11:00,Quality hold,71.0
5078,900022,WC-210,2026-06-28 13:00,Machine breakdown,109.0
5079,900047,WC-200,2026-06-27 17:00,Changeover / setup,84.0
5080,900021,WC-300,2026-09-07 10:00,Scheduled maintenance,78.0
5081,900115,WC-100,2026-06-29 19:00,Scheduled maintenance,108.0
5082,900177,WC-200,2026-09-08 14:00,Changeover / setup,113.0
5083,900091,WC-200,2026-07-25 19:00,Operator unavailable,73.0
5084,900015,WC-300,2026-07-03 02:00,Scheduled maintenance,157.0
5085,900094,WC-110,2026-07-08 16:00,Scheduled maintenance,166.0
5086,900008,WC-200,2026-07-29 04:00,Quality hold,166.0
5087,900113,WC-400,2026-07-27 01:00,Material shortage,25.0
5088,900166,WC-100,2026-06-24 11:00,Changeover / setup,98.0
5089,900146,WC-100,2026-08-28 01:00,Quality hold,45.0
5090,900116,WC-300,2026-08-30 11:00,Changeover / setup,112.0
5091,900020,WC-110,2026-06-08 18:00,Material shortage,132.0
5092,900102,WC-400,2026-08-16 10:00,Scheduled maintenance,74.0
5093,900030,WC-100,2026-06-07 00:00,Scheduled maintenance,53.0
5094,900133,WC-100,2026-09-15 12:00,Quality hold,37.0
5095,900067,WC-210,2026-07-04 14:00,Material shortage,239.0
5096,900074,WC-300,2026-08-08 15:00,Material shortage,38.0
5097,900019,WC-300,2026-07-12 14:00,Material shortage,217.0
5098,900114,WC-100,2026-06-04 02:00,Scheduled maintenance,233.0
5099,900082,WC-400,2026-08-16 11:00,Scheduled maintenance,25.0
5100,900139,WC-100,2026-07-30 09:00,Changeover / setup,206.0
5101,900180,WC-400,2026-08-21 20:00,Material shortage,193.0
5102,900131,WC-210,2026-07-15 07:00,Machine breakdown,237.0
5103,900036,WC-110,2026-08-14 07:00,Operator unavailable,16.0
5104,900142,WC-200,2026-08-18 18:00,Changeover / setup,118.0
5105,900142,WC-200,2026-08-18 04:00,Quality hold,213.0
5106,900017,WC-300,2026-09-06 09:00,Operator unavailable,240.0
5107,900123,WC-100,2026-08-07 16:00,Operator unavailable,187.0
5108,900148,WC-100,2026-08-24 02:00,Material shortage,234.0
5109,900165,WC-300,2026-08-24 02:00,Operator unavailable,117.0
5110,900133,WC-100,2026-09-15 11:00,Material shortage,212.0
5111,900142,WC-200,2026-08-18 20:00,Quality hold,52.0
5112,900034,WC-100,2026-06-07 13:00,Quality hold,219.0
5113,900015,WC-300,2026-07-03 03:00,Quality hold,45.0
5114,900043,WC-300,2026-08-02 05:00,Changeover / setup,225.0
5115,900058,WC-400,2026-09-04 11:00,Quality hold,216.0
5116,900021,WC-300,2026-09-07 08:00,Material shortage,156.0
5117,900142,WC-200,2026-08-18 08:00,Material shortage,154.0
5118,900158,WC-400,2026-09-19 17:00,Machine breakdown,126.0
5119,900044,WC-100,2026-06-01 18:00,Quality hold,45.0
5120,900169,WC-200,2026-07-27 19:00,Scheduled maintenance,217.0
5121,900087,WC-200,2026-06-04 18:00,Machine breakdown,200.0
5122,900008,WC-200,2026-07-29 02:00,Machine breakdown,228.0
5123,900148,WC-100,2026-08-24 08:00,Scheduled maintenance,58.0
5124,900147,WC-300,2026-08-22 13:00,Quality hold,157.0
5125,900128,WC-210,2026-06-19 20:00,Quality hold,77.0
5126,900078,WC-100,2026-08-19 15:00,Material shortage,195.0
5127,900176,WC-110,2026-07-26 12:00,Changeover / setup,114.0
5128,900177,WC-200,2026-09-08 01:00,Material shortage,111.0
