OrderNo,OrderDate,MaterialNo,MaterialDesc,WorkCenter,PlannedQty,ConfirmedQty,ScrapQty,PlannedHours,ActualHours,Status
900001,2026-09-03,MAT-1001,Steel Bracket A,WC-100,150,133,17,9.59,9.93,TECO
900002,2026-08-15,MAT-1005,Gearbox Assembly,WC-100,200,170,30,11.87,12.84,REL
900003,2026-08-31,MAT-1005,Gearbox Assembly,WC-110,300,273,27,28.48,31.25,TECO
900004,2026-07-25,MAT-1002,Steel Bracket B,WC-400,150,133,17,10.73,13.6,CNF
900005,2026-07-16,MAT-1004,Control Panel,WC-100,150,141,9,19.61,24.62,CNF
900006,2026-08-10,MAT-1004,Control Panel,WC-100,150,146,4,16.78,21.84,CNF
900007,2026-08-24,MAT-1001,Steel Bracket A,WC-100,100,96,4,14.85,19.3,TECO
900008,2026-07-29,MAT-1004,Control Panel,WC-200,150,131,19,12.83,15.84,TECO
900009,2026-08-21,MAT-1001,Steel Bracket A,WC-300,100,93,7,7.45,8.66,CNF
900010,2026-08-27,MAT-1005,Gearbox Assembly,WC-110,150,146,4,19.14,20.67,CNF
900011,2026-07-05,MAT-1003,Motor Housing,WC-210,50,44,6,7.21,9.42,CNF
900012,2026-08-22,MAT-1004,Control Panel,WC-210,200,174,26,12.79,16.12,CNF
900013,2026-08-14,MAT-1005,Gearbox Assembly,WC-210,200,180,20,29.95,31.4,CNF
900014,2026-06-20,MAT-1001,Steel Bracket A,WC-100,100,96,4,9.22,9.43,CNF
900015,2026-07-03,MAT-1004,Control Panel,WC-300,300,293,7,15.34,19.21,REL
900016,2026-09-07,MAT-1005,Gearbox Assembly,WC-200,150,130,20,14.02,16.25,TECO
900017,2026-09-06,MAT-1003,Motor Housing,WC-300,100,92,8,6.06,7.39,TECO
900018,2026-06-26,MAT-1005,Gearbox Assembly,WC-300,100,90,10,6.62,8.83,TECO
900019,2026-07-12,MAT-1001,Steel Bracket A,WC-300,200,170,30,28.58,37.37,TECO
900020,2026-06-08,MAT-1003,Motor Housing,WC-110,100,98,2,14.47,14.9,CNF
